pose_index,x,y,row,col
1,0.542714,0.631000,2,7
2,0.825857,0.631000,1,7
3,1.109000,0.631000,0,7
4,0.259571,0.631000,3,7
5,-0.023571,0.631000,4,7
6,-0.306714,0.631000,5,7
7,-0.589857,0.631000,6,7
8,-0.873000,0.631000,7,7
9,-0.873000,0.434714,7,6
10,-0.589857,0.434714,6,6
11,-0.306714,0.434714,5,6
12,-0.023571,0.434714,4,6
13,0.259571,0.434714,3,6
14,0.542714,0.434714,2,6
15,0.825857,0.434714,1,6
16,1.109000,0.434714,0,6
17,1.109000,0.238429,0,5
18,0.825857,0.238429,1,5
19,0.542714,0.238429,2,5
20,0.259571,0.238429,3,5
21,-0.023571,0.238429,4,5
22,-0.306714,0.238429,5,5
23,-0.873000,0.238429,7,5
24,-0.589857,0.238429,6,5
25,-0.873000,0.042143,7,4
26,-0.589857,0.042143,6,4
27,-0.306714,0.042143,5,4
28,-0.023571,0.042143,4,4
29,0.259571,0.042143,3,4
30,0.542714,0.042143,2,4
31,0.825857,0.042143,1,4
32,1.109000,0.042143,0,4
33,1.109000,-0.154143,0,3
34,0.825857,-0.154143,1,3
35,0.542714,-0.154143,2,3
36,0.259571,-0.154143,3,3
37,-0.023571,-0.154143,4,3
38,-0.306714,-0.154143,5,3
39,-0.589857,-0.154143,6,3
40,-0.873000,-0.154143,7,3
41,-0.873000,-0.350429,7,2
42,-0.589857,-0.350429,6,2
43,-0.306714,-0.350429,5,2
44,-0.023571,-0.350429,4,2
45,0.259571,-0.350429,3,2
46,0.542714,-0.350429,2,2
47,0.825857,-0.350429,1,2
48,1.109000,-0.350429,0,2
49,1.109000,-0.546714,0,1
50,0.825857,-0.546714,1,1
51,0.542714,-0.546714,2,1
52,0.259571,-0.546714,3,1
53,-0.023571,-0.546714,4,1
54,-0.306714,-0.546714,5,1
55,-0.589857,-0.546714,6,1
56,-0.873000,-0.546714,7,1
57,-0.873000,-0.743000,7,0
58,-0.589857,-0.743000,6,0
59,-0.306714,-0.743000,5,0
60,-0.023571,-0.743000,4,0
61,0.259571,-0.743000,3,0
62,0.542714,-0.743000,2,0
63,0.825857,-0.743000,1,0
64,1.109000,-0.743000,0,0
