pose_index,plan_time_s,success
1,0.1012,1
2,0.0511,1
3,0.1018,1
4,0.1562,1
5,0.2047,1
6,0.3056,1
7,5.0641,1
8,0.0514,1
9,0.0512,1
10,1.656,1
11,21.5952,1
12,1.3587,0
13,2.3187,1
14,0.1015,1
15,0.0515,1
16,0.0511,1
17,0.1016,1
18,0.2012,1
19,0.1009,1
20,0.1009,1
21,0.051,1
22,0.0511,1
23,0.1013,1
24,0.0509,1
25,0.0515,1
26,0.1022,1
27,0.1052,1
28,0.217,1
29,0.1546,1
30,0.154,1
31,0.1525,1
32,0.1033,1
33,0.1024,1
34,0.1524,1
35,0.1023,1
36,0.1014,1
37,0.9047,0
38,0.1017,1
39,0.0511,1
40,0.6046,1
41,0.1011,1
42,21.8541,1
43,0.0511,1
44,0.0512,1
45,0.051,1
46,0.0513,1
47,0.0516,1
48,0.0513,1
49,0.0513,1
50,0.2685,1
51,0.2686,1
52,0.415,1
53,0.157,1
54,0.1528,1
55,0.1541,1
56,0.1023,1
57,0.1026,1
58,6.8897,1
59,0.3016,1
60,0.1012,1
61,0.0516,1
62,0.0512,1
63,0.1011,1
64,0.0514,1
65,0.0516,1
66,0.051,1
67,0.1021,1
68,0.1701,1
69,0.2636,1
70,0.4081,1
71,0.1073,1
72,0.1532,1
73,0.2722,1
74,0.103,1
75,0.152,1
76,0.0509,1
77,0.0511,1
78,0.1013,1
79,0.1011,1
80,0.0512,1
81,0.1018,1
82,0.0517,1
83,0.0513,1
84,0.1019,1
85,5.1383,0
86,1.4164,1
87,0.152,1
88,0.2028,1
89,0.2024,1
90,0.1064,1
91,0.1013,1
92,0.0511,1
93,0.051,1
94,0.051,1
95,0.101,1
96,0.0508,1
97,0.0513,1
98,0.0509,1
99,0.0509,1
100,0.0516,1
101,0.2055,1
102,0.2078,1
103,0.2049,1
104,0.2121,1
105,0.1549,1
106,0.1534,1
107,0.2025,1
108,0.1535,1
109,0.1023,1
110,0.1021,1
111,0.1528,1
112,0.102,1
113,0.101,1
114,0.0512,1
115,0.0513,1
116,0.0529,1
117,0.0511,1
118,0.101,1
119,0.0521,1
120,0.0509,1
121,0.1021,1
122,0.0512,1
123,0.1015,1
124,0.2068,1
125,0.258,1
126,0.1594,1
127,0.3035,1
128,0.1532,1
129,0.1025,1
130,0.2579,1
131,1.9146,1
132,0.051,1
133,0.3019,0
134,0.0507,1
135,0.1015,1
136,0.1014,1
137,0.1017,1
138,0.2045,1
139,0.2706,1
140,0.1538,1
141,0.3149,1
142,0.1026,1
143,0.1034,1
144,0.1025,1
145,0.1019,1
146,0.1046,1
147,0.0514,1
148,0.0511,1
149,0.0511,1
150,0.0518,1
151,0.102,1
152,0.0517,1
153,0.0509,1
154,0.0512,1
155,0.1024,1
156,3.9753,0
157,0.3086,1
158,0.2033,1
159,0.1042,1
160,0.3531,1
161,0.101,1
162,0.1013,1
163,0.051,1
164,0.0509,1
165,0.0513,1
166,0.0511,1
167,0.1014,1
168,0.0518,1
169,0.1528,1
170,0.2146,1
171,0.26,1
172,0.2558,1
173,0.1569,1
174,0.204,1
175,0.1047,1
176,0.1529,1
177,0.1522,1
178,1.0065,1
179,1.5078,1
180,0.1034,1
181,3.9597,0
182,0.5669,1
183,0.2558,1
184,0.5103,1
185,0.153,1
186,0.6563,1
187,0.0513,1
188,0.0511,1
189,0.051,1
190,0.101,1
191,0.1015,1
192,0.101,1
