pose_index,plan_time_s,success
1,40.1622,1
2,0.1531,1
3,0.1552,1
4,0.1526,1
5,0.1579,1
6,0.1022,1
7,0.1531,1
8,0.1525,1
9,0.1018,1
10,0.0511,1
11,0.051,1
12,0.903,0
13,0.1517,1
14,0.0512,1
15,0.0511,1
16,0.1013,1
17,0.2061,1
18,42.1547,1
19,0.602,1
20,0.4017,1
21,0.0509,1
22,0.1516,1
23,0.2096,1
24,0.2093,1
25,0.2635,1
26,0.2058,1
27,0.1529,1
28,0.1523,1
29,0.1524,1
30,0.1025,1
31,0.1034,1
32,0.2042,1
33,0.1027,1
34,0.1011,1
35,0.0509,1
36,0.0509,1
37,0.7069,1
38,0.1012,1
39,0.1546,1
40,0.2063,1
41,0.1533,1
42,40.7194,1
43,0.1528,1
44,0.2023,1
45,0.1023,1
46,0.1034,1
47,0.102,1
48,0.1024,1
49,0.1526,1
50,0.1527,1
51,0.1518,1
52,0.051,1
53,0.051,1
54,0.0509,1
55,0.051,1
56,0.1016,1
57,0.0512,1
58,0.2017,1
59,0.3182,1
60,0.9333,0
61,0.268,1
62,0.1566,1
63,0.1028,1
64,0.1019,1
65,0.1527,1
66,0.1523,1
67,0.0509,1
68,0.102,1
69,0.1013,1
70,0.101,1
71,0.1015,1
72,0.0518,1
73,40.2127,1
74,0.1523,1
75,0.1021,1
76,20.1824,1
77,0.1024,1
78,0.2553,1
79,0.051,1
80,0.0513,1
81,0.051,1
82,0.0511,1
83,0.1013,1
84,0.0511,1
85,0.6535,1
86,0.1522,1
87,0.2123,1
88,0.3046,1
89,0.1528,1
90,0.103,1
91,40.689,1
92,0.101,1
93,0.1013,1
94,0.0508,1
95,0.102,1
96,0.2559,1
97,0.3128,1
98,0.1554,1
99,0.1536,1
100,0.1534,1
101,0.1522,1
102,0.103,1
103,41.8461,1
104,0.1527,1
105,0.1562,1
106,0.1018,1
107,0.0517,1
108,0.4036,1
109,0.051,1
110,0.1586,1
111,0.2035,1
112,0.2057,1
113,0.154,1
114,0.1536,1
115,0.1028,1
116,0.1022,1
117,0.1027,1
118,0.7021,1
119,0.0516,1
120,0.1016,1
121,0.1029,1
122,0.1661,1
123,0.258,1
124,0.1554,1
125,0.3119,1
126,0.1542,1
127,0.103,1
128,0.1061,1
129,0.1019,1
130,23.202,1
131,1.5062,1
132,3.4693,1
133,0.6024,0
134,0.0517,1
135,0.1012,1
136,0.1014,1
137,0.2063,1
138,0.1553,1
139,0.1536,1
140,0.1535,1
141,0.1021,1
142,0.102,1
143,0.1523,1
144,0.1524,1
145,0.102,1
146,0.0514,1
147,0.0509,1
148,0.1516,1
149,0.0512,1
150,41.5769,1
151,0.101,1
152,0.1009,1
153,0.0516,1
154,0.101,1
155,0.052,1
156,4.4312,0
157,40.2275,1
158,0.1524,1
159,0.103,1
160,0.0521,1
161,0.0512,1
162,0.1018,1
163,0.101,1
164,0.1016,1
165,0.1018,1
166,20.0676,1
167,0.1011,1
168,0.0509,1
169,0.0512,1
170,0.1517,1
171,0.0511,1
172,0.051,1
173,0.051,1
174,0.0511,1
175,0.0509,1
176,0.1009,1
177,0.1546,1
178,0.1616,1
179,0.2078,1
180,0.2139,1
181,3.3749,0
182,21.1958,1
183,0.3026,1
184,0.1022,1
185,0.0511,1
186,0.051,1
187,0.0508,1
188,0.0512,1
189,0.101,1
190,0.0515,1
191,0.1013,1
192,0.1022,1
